provider_id,provider_name,provider_type,specialty,address,city,state,zip,phone,in_network,quality_rating,avg_cost_index
PRV00212,St. General Associates,Pharmacy,Orthopedics,3979 Second Dr,Fort Worth,TX,76101,(522) 602-6345,True,3.5,0.76
PRV00213,Mount General Center,Hospital,Orthopedics,7465 Pine Ln,San Antonio,TX,78201,(616) 323-9780,True,4.5,1.06
PRV00214,Valley General Hospital,Clinic,Oncology,9984 Main Blvd,Charlotte,NC,28201,(535) 351-2494,True,4.9,1.02
PRV00215,Valley Community Center,Hospital,OB/GYN,7508 Elm Blvd,Los Angeles,CA,90001,(296) 673-2669,True,3.3,0.71
PRV00216,Mount Memorial Associates,Physician,Cardiology,9640 Washington Dr,San Diego,CA,92101,(276) 222-2056,False,4.3,1.35
PRV00217,Valley General Hospital,Specialist,Primary Care,2852 Sunset Way,Chicago,IL,60601,(941) 604-9128,False,4.4,0.84
PRV00218,Mount Community Clinic,Specialist,Orthopedics,667 Washington Blvd,San Antonio,TX,78201,(862) 502-9173,True,4.1,0.75
PRV00219,City Memorial Associates,Clinic,General,4182 Lake St,Dallas,TX,75201,(591) 930-6883,True,4.6,0.98
PRV00220,Regional Community Associates,Physician,Orthopedics,527 Third Blvd,Denver,CO,80201,(230) 997-5602,False,5.0,1.12
PRV00221,Mount Memorial Hospital,Clinic,Neurology,4466 Elm St,Denver,CO,80201,(982) 424-7363,True,4.7,1.38
PRV00222,Mount Community Clinic,Lab,Primary Care,5861 Washington Rd,Philadelphia,PA,19101,(776) 392-9064,True,3.4,0.73
PRV00223,Mount Memorial Hospital,Lab,Emergency,111 Third Blvd,Los Angeles,CA,90001,(333) 548-3907,True,4.7,0.96
PRV00224,Mount Memorial Hospital,Urgent Care,General,6078 Oak Ln,New York,NY,10001,(921) 878-7481,True,3.7,0.96
PRV00225,City Medical Clinic,Clinic,General,5946 First Rd,Philadelphia,PA,19101,(587) 514-5825,False,4.5,1.46
PRV00226,City General Center,Lab,Pediatrics,3719 Lake Ave,Denver,CO,80201,(708) 344-6425,True,3.5,1.49
PRV00227,St. Community Associates,Hospital,Oncology,3535 First Ave,Philadelphia,PA,19101,(558) 462-2770,True,3.1,1.05
PRV00228,Mount Medical Associates,Specialist,Pediatrics,9046 Park Ave,Columbus,OH,43201,(690) 791-4695,False,3.1,1.38
PRV00229,St. Community Clinic,Hospital,Cardiology,5700 Maple Way,San Jose,CA,95101,(364) 949-2228,True,4.8,0.77
PRV00230,Regional Medical Hospital,Specialist,Orthopedics,7213 Maple St,Boston,MA,02101,(303) 539-4367,True,3.8,1.14
PRV00231,Regional Community Clinic,Physician,Neurology,1671 Main Way,Minneapolis,MN,55401,(785) 762-9043,False,3.7,1.04
PRV00232,Regional Medical Center,Hospital,Primary Care,3490 Maple Dr,San Jose,CA,95101,(283) 684-2892,True,3.8,1.09
PRV00233,Valley General Associates,Clinic,Pediatrics,6349 Third Rd,Miami,FL,33101,(656) 245-5313,True,3.5,1.37
PRV00234,St. Memorial Hospital,Hospital,Pediatrics,8971 Park Blvd,Denver,CO,80201,(766) 262-7342,True,3.8,1.13
PRV00235,Regional Memorial Associates,Physician,Cardiology,6568 Sunset St,San Francisco,CA,94101,(714) 784-9467,True,4.4,1.2
PRV00236,City Memorial Center,Clinic,Neurology,2167 Main Way,Houston,TX,77001,(280) 899-8133,True,4.6,0.82
PRV00237,Valley Community Hospital,Hospital,OB/GYN,9215 Park Ln,Boston,MA,02101,(482) 732-8506,True,3.0,1.26
PRV00238,Regional Medical Hospital,Specialist,Orthopedics,2528 Washington Ave,Denver,CO,80201,(308) 776-2654,True,4.7,1.4
PRV00239,Valley Medical Associates,Lab,Internal Medicine,7850 Main Rd,Columbus,OH,43201,(482) 612-3356,True,4.4,1.02
PRV00240,Valley Memorial Hospital,Pharmacy,Emergency,4500 Sunset Ln,Fort Worth,TX,76101,(220) 545-5965,True,4.7,1.39
PRV00241,St. Memorial Center,Physician,Emergency,5357 Second Way,Miami,FL,33101,(819) 861-2462,False,3.4,1.36
PRV00242,City Community Hospital,Lab,Orthopedics,1175 Second Way,Minneapolis,MN,55401,(338) 999-9589,True,3.1,0.85
PRV00243,St. Memorial Hospital,Specialist,Primary Care,6004 Hill Blvd,San Antonio,TX,78201,(480) 577-8605,True,4.3,0.8
PRV00244,Mount Community Associates,Lab,Emergency,3009 River Ct,New York,NY,10001,(800) 764-6730,True,4.7,0.91
PRV00245,St. Community Hospital,Specialist,Primary Care,2769 River Blvd,Atlanta,GA,30301,(426) 862-4688,True,3.5,1.03
PRV00246,St. Medical Center,Pharmacy,Orthopedics,9949 Forest St,New York,NY,10001,(429) 458-6004,True,4.4,0.92
PRV00247,Valley Medical Clinic,Clinic,Emergency,5050 Lake Way,Fort Worth,TX,76101,(798) 304-1120,True,4.3,1.37
PRV00248,Regional Community Clinic,Pharmacy,Cardiology,7992 Oak Ln,Jacksonville,FL,32099,(483) 855-6327,True,3.5,1.27
PRV00249,Valley Memorial Center,Lab,Neurology,1030 Forest Way,Portland,OR,97201,(876) 527-3292,True,4.3,1.5
PRV00250,City Medical Associates,Pharmacy,Primary Care,9652 Hill Blvd,Dallas,TX,75201,(551) 943-4643,True,4.3,1.08
